,station_date,split,pos_lat,pos_lon,pos_height,solution_quality,num_satellites,sdn,sde,sdu,sdne,sdeu,sdun,age,ratio,pdop,pos_uncertainty,bds_sat_count_obs,snr_mean,snr_min,snr_max,snr_std,true_h_error_m,reliability_class
2023-12-10 00:14:30,URUM_20231210,train,43.807945886,87.600675976,857.1609,5,14,1.9915,1.5001,4.0259,-0.5056,1.2171,-1.2298,0.0,0.0,4.735424275606147,2.4932653809813345,27,42.53462962962963,34.285,51.695,4.865631614846732,0.6072127287141458,0
2023-12-10 00:15:00,URUM_20231210,train,43.807941711,87.600675735,857.1696,5,14,1.9953,1.5005,4.0209,-0.5107,1.2164,-1.2281,0.0,0.0,4.732901768471431,2.4965420765530872,27,42.52340740740741,34.203,51.816,4.87663388208947,0.9969414774407772,0
2023-12-10 00:15:30,URUM_20231210,train,43.807941016,87.600672807,857.2304,5,14,1.9992,1.5009,4.0159,-0.5159,1.2156,-1.2266,0.0,0.0,4.7304285492965645,2.499900288011504,27,42.5545925925926,34.523,51.887,4.948330466385445,1.009444148677796,0
2023-12-10 00:16:00,URUM_20231210,train,43.807941309,87.600671658,857.1898,5,14,2.0031,1.5013,4.0108,-0.521,1.2147,-1.2251,0.0,0.0,4.72787774165111,2.503260134304863,27,42.46314814814815,34.695,51.828,4.923478005385591,0.967836504221116,0
2023-12-10 00:16:30,URUM_20231210,train,43.807937387,87.600668271,857.8101,5,14,2.007,1.5017,4.0058,-0.5262,1.2138,-1.2238,0.0,0.0,4.725419085118272,2.5066216088592235,27,42.49581481481482,34.652,51.445,4.837416729850097,1.4194954232453765,0
2023-12-10 00:17:00,URUM_20231210,train,43.807941802,87.600673815,857.8078,5,14,2.0109,1.5021,4.0007,-0.5313,1.2127,-1.2226,0.0,0.0,4.722882987117085,2.5099847051326827,27,42.516777777777776,34.504,51.617,4.866815704602354,0.9391472057965892,0
2023-12-10 00:17:30,URUM_20231210,train,43.807941713,87.60067302,856.4449,5,14,2.0148,1.5025,3.9956,-0.5364,1.2117,-1.2215,0.0,0.0,4.720354292847095,2.5133494166152066,27,42.53014814814814,34.0,51.461,4.8080523379951146,0.9356208229710046,0
2023-12-10 00:18:00,URUM_20231210,train,43.807942086,87.600671285,855.9842,5,14,2.0188,1.5029,3.9905,-0.5416,1.2105,-1.2204,0.0,0.0,4.717875803791363,2.5167959492179732,27,42.5247037037037,34.332,51.148,4.812791664007451,0.8802937790354243,0
2023-12-10 00:18:30,URUM_20231210,train,43.807937144,87.600672597,856.9493,5,14,2.0228,1.5033,3.9853,-0.5467,1.2093,-1.2195,0.0,0.0,4.71532043661934,2.5202441806301232,27,42.52474074074074,34.445,51.055,4.786083701674073,1.4352546791753005,0
2023-12-10 00:19:00,URUM_20231210,train,43.807941723,87.600675767,856.5937,5,14,2.0268,1.5037,3.9802,-0.5518,1.2081,-1.2187,0.0,0.0,4.712857304226386,2.5236941038881873,27,42.397592592592595,34.141,50.984,4.90046370850806,0.9966906991986664,0
